action,ticker,quantity,price,state,date,type,time_in_force,category,opening_strategy,closing_strategy,total,account
credit,ORCL,1.0,150.0,filled,2022-01-28 14:54:53.067650+00:00,limit,gfd,options,,long_put,150.0,ROBINHOOD
debit,ORCL,1.0,119.0,filled,2022-01-25 16:00:39.956245+00:00,limit,gfd,options,long_put,,119.0,ROBINHOOD
credit,GE,2.0,0.08,paid,2022-01-25 00:00:00,,,dividends,,,0.16,ROBINHOOD
credit,ORCL,1.0,0.32,paid,2022-01-19 00:00:00,,,dividends,,,0.32,ROBINHOOD
debit,BTCUSD,0.01111111,45000.0,filled,2022-01-05 14:46:23.693000-05:00,limit,gtc,crypto,,,499.99995,ROBINHOOD
credit,UFO,20.0,0.129646,paid,2022-01-03 00:00:00,,,dividends,,,2.5929200000000003,ROBINHOOD
credit,QQQ,3.0,0.49141,paid,2021-12-31 00:00:00,,,dividends,,,1.47423,ROBINHOOD
credit,SPYG,6.0,0.122755,paid,2021-12-23 00:00:00,,,dividends,,,0.73653,ROBINHOOD
credit,MSFT,5.0,0.62,paid,2021-12-09 00:00:00,,,dividends,,,3.1,ROBINHOOD
credit,PFE,20.0,0.39,paid,2021-12-06 00:00:00,,,dividends,,,7.800000000000001,ROBINHOOD
credit,ET,25.0,0.1525,paid,2021-11-19 00:00:00,,,dividends,,,3.8125,ROBINHOOD
credit,NEP,5.0,0.685,paid,2021-11-12 00:00:00,,,dividends,,,3.4250000000000003,ROBINHOOD
credit,GOGO,33.0,19.43,filled,2021-11-04 13:42:52.734000+00:00,market,gfd,stock,,,641.1899999999999,ROBINHOOD
credit,QQQ,3.0,0.41391,paid,2021-10-29 00:00:00,,,dividends,,,1.24173,ROBINHOOD
credit,ORCL,1.0,0.32,paid,2021-10-26 00:00:00,,,dividends,,,0.32,ROBINHOOD
credit,GE,2.0,0.08,paid,2021-10-25 00:00:00,,,dividends,,,0.16,ROBINHOOD
credit,UFO,20.0,0.000809,paid,2021-09-29 00:00:00,,,dividends,,,0.01618,ROBINHOOD
debit,ET,3.0,11.0,filled,2021-09-27 13:58:05.133533+00:00,limit,gfd,options,long_put,,33.0,ROBINHOOD
credit,ET,3.0,20.0,filled,2021-09-27 13:40:43.280327+00:00,limit,gfd,options,,long_call,60.0,ROBINHOOD
debit,ET,3.0,10.0,filled,2021-09-24 16:05:49.725761+00:00,limit,gfd,options,long_call,,30.0,ROBINHOOD
credit,ET,1.0,20.0,filled,2021-09-24 16:03:57.980093+00:00,limit,gfd,options,,long_put,20.0,ROBINHOOD
credit,SPYG,6.0,0.105016,paid,2021-09-23 00:00:00,,,dividends,,,0.630096,ROBINHOOD
debit,ET,1.0,27.0,filled,2021-09-13 14:55:15.928387+00:00,limit,gfd,options,long_put,,27.0,ROBINHOOD
debit,CRSP,8.0,118.2475,filled,2021-09-13 14:49:51.248000+00:00,market,gfd,stock,,,945.98,ROBINHOOD
credit,MSFT,5.0,0.56,paid,2021-09-09 00:00:00,,,dividends,,,2.8000000000000003,ROBINHOOD
debit,BTCUSD,0.00044897,46773.64,filled,2021-09-08 00:23:39.680000-04:00,limit,gtc,crypto,,,20.999961150799997,ROBINHOOD
credit,PFE,20.0,0.39,paid,2021-09-07 00:00:00,,,dividends,,,7.800000000000001,ROBINHOOD
credit,ET,25.0,0.1525,paid,2021-08-19 00:00:00,,,dividends,,,3.8125,ROBINHOOD
credit,NEP,5.0,0.6625,paid,2021-08-13 00:00:00,,,dividends,,,3.3125,ROBINHOOD
debit,ORCL,1.0,89.95,filled,2021-08-04 19:38:53.686000+00:00,market,gfd,stock,,,89.95,ROBINHOOD
credit,QQQ,3.0,0.39679,paid,2021-07-30 00:00:00,,,dividends,,,1.19037,ROBINHOOD
credit,GE,23.0,0.01,paid,2021-07-26 00:00:00,,,dividends,,,0.23,ROBINHOOD
debit,QQQ,1.0,11.0,filled,2021-07-12 18:56:19.704121+00:00,limit,gfd,options,long_call,,11.0,ROBINHOOD
debit,FSLR,2.0,95.245,filled,2021-07-12 15:26:05.992000+00:00,market,gfd,stock,,,190.49,ROBINHOOD
debit,ET,25.0,10.4456,filled,2021-07-12 15:25:46.008000+00:00,market,gfd,stock,,,261.14000000000004,ROBINHOOD
debit,SPCE,7.0,43.13,filled,2021-07-12 15:25:11.868000+00:00,market,gfd,stock,,,301.91,ROBINHOOD
debit,TLRY,15.0,16.1187,filled,2021-07-12 15:24:33.522000+00:00,market,gfd,stock,,,241.78050000000002,ROBINHOOD
credit,UFO,20.0,0.118043,paid,2021-06-29 00:00:00,,,dividends,,,2.3608599999999997,ROBINHOOD
credit,SPYG,6.0,0.105633,paid,2021-06-24 00:00:00,,,dividends,,,0.6337980000000001,ROBINHOOD
debit,TASK,2.0,31.6,filled,2021-06-14 14:28:00.614000+00:00,market,gfd,stock,,,63.2,ROBINHOOD
debit,GLBE,8.5,47.9635,filled,2021-06-14 13:47:36.965499+00:00,market,gfd,stock,,,407.68975,ROBINHOOD
credit,ZG,4.0,116.71,filled,2021-06-14 13:47:14.150000+00:00,market,gfd,stock,,,466.84,ROBINHOOD
debit,GLBE,1.5,47.66,filled,2021-06-14 13:43:28.607555+00:00,market,gfd,stock,,,71.49,ROBINHOOD
debit,ZG,8.0,116.48,filled,2021-06-14 13:42:58.915000+00:00,market,gfd,stock,,,931.84,ROBINHOOD
credit,MSFT,10.0,0.56,paid,2021-06-10 00:00:00,,,dividends,,,5.6000000000000005,ROBINHOOD
debit,GE,20.0,13.75,filled,2021-06-09 18:52:47.687000+00:00,limit,gfd,stock,,,275.0,ROBINHOOD
credit,AMC,1.0,240.0,filled,2021-06-09 17:38:10.250050+00:00,limit,gfd,options,,long_put,240.0,ROBINHOOD
debit,BUD,1.0,77.65,filled,2021-06-07 13:30:00.825000+00:00,market,gfd,stock,,,77.65,ROBINHOOD
credit,PFE,20.0,0.39,paid,2021-06-04 00:00:00,,,dividends,,,7.800000000000001,ROBINHOOD
debit,UFO,15.0,30.3,filled,2021-06-02 18:20:24.387000+00:00,market,gfd,stock,,,454.5,ROBINHOOD
debit,AMC,1.0,675.0,filled,2021-06-02 18:18:51.371379+00:00,limit,gfd,options,long_put,,675.0,ROBINHOOD
credit,MSFT,5.0,246.21,filled,2021-06-02 18:17:34.651000+00:00,market,gfd,stock,,,1231.05,ROBINHOOD
credit,NEP,5.0,0.6375,paid,2021-05-14 00:00:00,,,dividends,,,3.1875,ROBINHOOD
debit,UFO,1.0,45.0,filled,2021-05-11 15:19:15.414075+00:00,limit,gfd,options,long_call,,45.0,ROBINHOOD
debit,UFO,5.0,29.154,filled,2021-05-11 14:06:59.220000+00:00,limit,gfd,stock,,,145.77,ROBINHOOD
debit,ETHUSD,0.004321,3469.394471,filled,2021-05-05 23:04:27.122000-04:00,market,gtc,crypto,,,14.991253509191,ROBINHOOD
debit,DOGEUSD,76.0,0.648466,filled,2021-05-05 23:04:02.309000-04:00,limit,gtc,crypto,,,49.283416,ROBINHOOD
debit,SPOT,4.0,238.37,filled,2021-05-05 14:36:44.680000+00:00,market,gfd,stock,,,953.48,ROBINHOOD
credit,QQQ,3.0,0.39468,paid,2021-04-30 00:00:00,,,dividends,,,1.18404,ROBINHOOD
credit,GE,3.0,0.01,paid,2021-04-26 00:00:00,,,dividends,,,0.03,ROBINHOOD
credit,SPYG,6.0,0.114768,paid,2021-03-25 00:00:00,,,dividends,,,0.688608,ROBINHOOD
credit,MSFT,10.0,0.56,paid,2021-03-11 00:00:00,,,dividends,,,5.6000000000000005,ROBINHOOD
credit,PFE,20.0,0.39,paid,2021-03-05 00:00:00,,,dividends,,,7.800000000000001,ROBINHOOD
credit,NEP,5.0,0.615,paid,2021-02-12 00:00:00,,,dividends,,,3.075,ROBINHOOD
debit,GE,1.0,18.0,filled,2021-02-05 14:57:38.460254+00:00,limit,gfd,options,long_put,,18.0,ROBINHOOD
debit,GE,5.0,7.0,filled,2021-02-05 14:56:20.824813+00:00,limit,gfd,options,long_put,,35.0,ROBINHOOD
debit,SPYG,6.0,57.575,filled,2021-02-05 14:54:06.808000+00:00,market,gfd,stock,,,345.45000000000005,ROBINHOOD
credit,AMC,54.0,7.27,filled,2021-02-05 14:52:30.798000+00:00,market,gfd,stock,,,392.58,ROBINHOOD
debit,AMC,4.0,13.2475,filled,2021-01-29 14:53:11.620000+00:00,market,gfd,stock,,,52.99,ROBINHOOD
debit,AMC,50.0,13.99,filled,2021-01-29 14:04:58.658000+00:00,limit,gfd,stock,,,699.5,ROBINHOOD
credit,AMC,45.0,7.4,filled,2021-01-28 15:37:17.172000+00:00,market,gfd,stock,,,333.0,ROBINHOOD
credit,AMC,50.0,8.01,filled,2021-01-28 15:36:24.150000+00:00,market,gfd,stock,,,400.5,ROBINHOOD
debit,AMC,95.0,5.05,filled,2021-01-26 14:03:49.520000+00:00,limit,gfd,stock,,,479.75,ROBINHOOD
debit,GOGO,33.0,14.8,filled,2021-01-26 14:03:09.618000+00:00,limit,gfd,stock,,,488.40000000000003,ROBINHOOD
credit,QQQ,3.0,328.74,filled,2021-01-26 14:01:24.688000+00:00,market,gfd,stock,,,986.22,ROBINHOOD
credit,GE,3.0,0.01,paid,2021-01-25 00:00:00,,,dividends,,,0.03,ROBINHOOD
debit,GE,1.0,20.0,filled,2021-01-13 17:42:56.040317+00:00,limit,gfd,options,long_call,,20.0,ROBINHOOD
credit,QQQ,6.0,0.56133,paid,2020-12-31 00:00:00,,,dividends,,,3.36798,ROBINHOOD
debit,MSFT,1.0,213.97,filled,2020-12-15 15:22:39.409000+00:00,market,gfd,stock,,,213.97,ROBINHOOD
debit,PFE,20.0,38.4275,filled,2020-12-15 15:21:51.968000+00:00,market,gfd,stock,,,768.5500000000001,ROBINHOOD
credit,MSFT,10.0,0.56,paid,2020-12-10 00:00:00,,,dividends,,,5.6000000000000005,ROBINHOOD
debit,GE,1.0,10.5,filled,2020-12-03 15:02:12.245000+00:00,market,gfd,stock,,,10.5,ROBINHOOD
debit,PLTR,9.0,24.5378,filled,2020-12-03 15:02:01.402000+00:00,market,gfd,stock,,,220.8402,ROBINHOOD
credit,MSFT,1.0,215.17,filled,2020-12-03 14:24:45.872000+00:00,market,gfd,stock,,,215.17,ROBINHOOD
debit,PLTR,10.0,31.493,filled,2020-11-27 15:03:01.237000+00:00,market,gfd,stock,,,314.93,ROBINHOOD
credit,QQQ,1.0,298.75,filled,2020-11-27 15:02:44.807000+00:00,market,gfd,stock,,,298.75,ROBINHOOD
credit,NEP,5.0,0.595,paid,2020-11-13 00:00:00,,,dividends,,,2.9749999999999996,ROBINHOOD
debit,SFIX,2.0,37.545,filled,2020-11-06 15:31:44.080000+00:00,market,gfd,stock,,,75.09,ROBINHOOD
credit,BTG,4.0,6.8525,filled,2020-11-06 15:31:22.993000+00:00,market,gfd,stock,,,27.41,ROBINHOOD
credit,QQQ,7.0,0.38824,paid,2020-10-30 00:00:00,,,dividends,,,2.7176799999999997,ROBINHOOD
debit,MSFT,1.0,205.44,filled,2020-10-28 14:45:17.439000+00:00,market,gfd,stock,,,205.44,ROBINHOOD
credit,MSFT,1.0,212.34,filled,2020-10-27 20:08:27.386000+00:00,market,gfd,stock,,,212.34,ROBINHOOD
credit,BTG,1.0,40.0,filled,2020-10-27 19:55:38.301594+00:00,limit,gfd,options,,long_call,40.0,ROBINHOOD
credit,GE,2.0,0.01,paid,2020-10-26 00:00:00,,,dividends,,,0.02,ROBINHOOD
debit,BTG,1.0,60.0,filled,2020-10-14 13:41:06.999085+00:00,limit,gfd,options,long_call,,60.0,ROBINHOOD
debit,FSLR,3.0,84.9167,filled,2020-10-14 13:39:53.619000+00:00,market,gfd,stock,,,254.75010000000003,ROBINHOOD
credit,MTCH,3.0,111.31,filled,2020-10-14 13:38:18.308000+00:00,market,gfd,stock,,,333.93,ROBINHOOD
credit,BTG,4.0,0.034,paid,2020-09-30 00:00:00,,,dividends,,,0.136,ROBINHOOD
debit,BTG,4.0,6.6275,filled,2020-09-11 13:51:16.269000+00:00,market,gfd,stock,,,26.51,ROBINHOOD
credit,MSFT,10.0,0.51,paid,2020-09-10 00:00:00,,,dividends,,,5.1,ROBINHOOD
credit,NEP,5.0,0.5775,paid,2020-08-14 00:00:00,,,dividends,,,2.8875,ROBINHOOD
credit,QQQ,7.0,0.42426,paid,2020-07-31 00:00:00,,,dividends,,,2.9698200000000003,ROBINHOOD
credit,GE,2.0,0.01,paid,2020-07-27 00:00:00,,,dividends,,,0.02,ROBINHOOD
credit,MSFT,10.0,0.51,paid,2020-06-11 00:00:00,,,dividends,,,5.1,ROBINHOOD
debit,MTCH,1.0,84.92,filled,2020-05-20 17:55:05.332000+00:00,market,gfd,stock,,,84.92,ROBINHOOD
credit,NEP,5.0,0.555,paid,2020-05-15 00:00:00,,,dividends,,,2.7750000000000004,ROBINHOOD
credit,QQQ,7.0,0.36269,paid,2020-04-30 00:00:00,,,dividends,,,2.53883,ROBINHOOD
credit,GE,2.0,0.01,paid,2020-04-27 00:00:00,,,dividends,,,0.02,ROBINHOOD
debit,MSFT,4.0,147.51,filled,2020-03-13 13:30:01.800000+00:00,market,gfd,stock,,,590.04,ROBINHOOD
credit,MSFT,5.0,0.51,paid,2020-03-12 00:00:00,,,dividends,,,2.55,ROBINHOOD
debit,MSFT,5.0,158.13,filled,2020-03-10 13:30:04.012000+00:00,market,gfd,stock,,,790.65,ROBINHOOD
credit,MSFT,5.0,150.22,filled,2020-03-09 13:04:04.835000+00:00,market,gfd,stock,,,751.1,ROBINHOOD
credit,MSFT,1.0,705.0,filled,2020-03-06 17:25:56.866758+00:00,limit,gfd,options,,long_put,705.0,ROBINHOOD
debit,MSFT,1.0,160.58,filled,2020-03-06 15:21:16.785000+00:00,limit,gfd,stock,,,160.58,ROBINHOOD
debit,MSFT,1.0,305.0,filled,2020-03-05 15:19:09.719617+00:00,limit,gfd,options,long_put,,305.0,ROBINHOOD
credit,QQQ,1.0,216.76,filled,2020-03-04 21:31:34.473000+00:00,market,gfd,stock,,,216.76,ROBINHOOD
credit,QQQ,1.0,216.95,filled,2020-03-04 21:24:12.888000+00:00,market,gfd,stock,,,216.95,ROBINHOOD
debit,MTCH,2.0,64.785,filled,2020-03-02 22:04:27.417155+00:00,market,gfd,stock,,,129.57,ROBINHOOD
debit,QQQ,4.0,208.94,filled,2020-03-02 14:30:13.358000+00:00,market,gfd,stock,,,835.76,ROBINHOOD
debit,GE,2.0,12.94,filled,2020-02-19 14:57:55.993000+00:00,market,gfd,stock,,,25.88,ROBINHOOD
credit,NEP,5.0,0.535,paid,2020-02-14 00:00:00,,,dividends,,,2.6750000000000003,ROBINHOOD
credit,QQQ,5.0,0.45765,paid,2019-12-31 00:00:00,,,dividends,,,2.28825,ROBINHOOD
credit,MSFT,5.0,0.51,paid,2019-12-12 00:00:00,,,dividends,,,2.55,ROBINHOOD
credit,NEP,5.0,0.5175,paid,2019-11-14 00:00:00,,,dividends,,,2.5875,ROBINHOOD
debit,QQQ,2.0,200.21,filled,2019-11-04 14:02:56.153000+00:00,limit,gfd,stock,,,400.42,ROBINHOOD
credit,QQQ,3.0,0.38415,paid,2019-10-31 00:00:00,,,dividends,,,1.15245,ROBINHOOD
credit,BTCUSD,0.04404708,9069.51,filled,2019-10-25 20:48:39.301000-04:00,market,gtc,crypto,,,399.48543253080004,ROBINHOOD
debit,MSFT,2.0,137.04,filled,2019-09-24 19:31:31.096000+00:00,market,gfd,stock,,,274.08,ROBINHOOD
credit,MSFT,2.0,137.345,filled,2019-09-24 18:59:44.432000+00:00,market,gfd,stock,,,274.69,ROBINHOOD
debit,BTCUSD,0.01231643,9743.08,filled,2019-09-23 22:29:31.054000-04:00,market,gtc,crypto,,,119.9999628044,ROBINHOOD
credit,GE,2.0,46.0,filled,2019-09-16 19:59:09.391939+00:00,limit,gfd,options,,long_call,92.0,ROBINHOOD
credit,MSFT,7.0,0.46,paid,2019-09-12 00:00:00,,,dividends,,,3.22,ROBINHOOD
debit,BTCUSD,0.03173884,9459.485364934571,filled,2019-08-29 10:34:02.996000-04:00,market,gtc,crypto,,,300.2330924799999,ROBINHOOD
credit,MSFT,2.0,138.66,filled,2019-08-22 13:30:00.147000+00:00,market,gfd,stock,,,277.32,ROBINHOOD
debit,GE,2.0,37.0,filled,2019-08-16 15:42:03.784174+00:00,limit,gfd,options,long_call,,74.0,ROBINHOOD
credit,AKG,100.0,0.8584,filled,2019-08-16 15:41:37.133000+00:00,market,gfd,stock,,,85.84,ROBINHOOD
credit,NEP,5.0,0.5025,paid,2019-08-14 00:00:00,,,dividends,,,2.5124999999999997,ROBINHOOD
debit,AKG,100.0,1.04,filled,2019-08-09 15:11:58.053000+00:00,market,gfd,stock,,,104.0,ROBINHOOD
debit,QQQ,3.0,185.82,filled,2019-08-09 14:43:20.108000+00:00,market,gfd,stock,,,557.46,ROBINHOOD
credit,FANG,3.0,94.86,filled,2019-08-09 14:42:04.372000+00:00,market,gfd,stock,,,284.58,ROBINHOOD
credit,FAN,3.0,12.87,filled,2019-08-09 14:41:48.495000+00:00,market,gfd,stock,,,38.61,ROBINHOOD
credit,BTG,50.0,3.79,filled,2019-08-08 20:27:48.435000+00:00,limit,gfd,stock,,,189.5,ROBINHOOD
credit,ALLK,2.0,82.975,filled,2019-08-08 13:36:33.151000+00:00,market,gfd,stock,,,165.95,ROBINHOOD
debit,ALLK,2.0,91.845,filled,2019-08-07 15:42:59.999000+00:00,market,gfd,stock,,,183.69,ROBINHOOD
debit,BTG,50.0,3.8896,filled,2019-08-07 15:42:31.075000+00:00,market,gfd,stock,,,194.48000000000002,ROBINHOOD
credit,BEP,10.0,35.4,filled,2019-08-07 15:41:52.275000+00:00,market,gfd,stock,,,354.0,ROBINHOOD
debit,FAN,3.0,13.62,filled,2019-07-19 13:52:37.043000+00:00,market,gfd,stock,,,40.86,ROBINHOOD
debit,MSFT,7.0,137.79,filled,2019-07-17 14:09:48.721000+00:00,market,gfd,stock,,,964.53,ROBINHOOD
debit,FANG,3.0,109.62,filled,2019-07-10 14:45:37.462000+00:00,market,gfd,stock,,,328.86,ROBINHOOD
debit,NEP,5.0,49.83,filled,2019-07-10 14:34:10.069000+00:00,market,gfd,stock,,,249.14999999999998,ROBINHOOD
debit,BEP,10.0,35.789,filled,2019-07-10 14:33:37.666000+00:00,market,gfd,stock,,,357.89,ROBINHOOD
credit,ET,25.0,0.305,paid,2019-05-20 00:00:00,,,dividends,,,7.625,ROBINHOOD
credit,DVN,8.0,30.44,filled,2019-05-13 15:05:58.633000+00:00,market,gfd,stock,,,243.52,ROBINHOOD
credit,MU,2.0,37.68,filled,2019-05-13 15:05:40.623000+00:00,market,gfd,stock,,,75.36,ROBINHOOD
credit,ET,25.0,14.8,filled,2019-05-13 15:05:04.705000+00:00,market,gfd,stock,,,370.0,ROBINHOOD
credit,MSFT,3.0,123.96,filled,2019-05-13 15:04:38.112000+00:00,market,gfd,stock,,,371.88,ROBINHOOD
credit,DVN,8.0,0.08,paid,2019-03-29 00:00:00,,,dividends,,,0.64,ROBINHOOD
credit,MSFT,3.0,0.46,paid,2019-03-14 00:00:00,,,dividends,,,1.3800000000000001,ROBINHOOD
credit,ET,25.0,0.305,paid,2019-02-19 00:00:00,,,dividends,,,7.625,ROBINHOOD
credit,DVN,8.0,0.08,paid,2018-12-28 00:00:00,,,dividends,,,0.64,ROBINHOOD
debit,ET,25.0,12.35,filled,2018-12-26 18:29:25.868000+00:00,market,gfd,stock,,,308.75,ROBINHOOD
credit,MSFT,3.0,0.46,paid,2018-12-13 00:00:00,,,dividends,,,1.3800000000000001,ROBINHOOD
credit,BAC,1.0,0.15,paid,2018-09-28 00:00:00,,,dividends,,,0.15,ROBINHOOD
credit,DVN,8.0,0.08,paid,2018-09-28 00:00:00,,,dividends,,,0.64,ROBINHOOD
credit,BMRN,1.0,101.14,filled,2018-09-20 15:47:35.419000+00:00,market,gfd,stock,,,101.14,ROBINHOOD
credit,BAC,1.0,31.25,filled,2018-09-20 15:47:05.528000+00:00,market,gfd,stock,,,31.25,ROBINHOOD
credit,MSFT,3.0,0.42,paid,2018-09-13 00:00:00,,,dividends,,,1.26,ROBINHOOD
credit,BUD,2.0,90.91,filled,2018-09-05 14:02:06.559000+00:00,market,gfd,stock,,,181.82,ROBINHOOD
credit,DVN,6.0,0.08,paid,2018-06-29 00:00:00,,,dividends,,,0.48,ROBINHOOD
credit,BAC,1.0,0.12,paid,2018-06-29 00:00:00,,,dividends,,,0.12,ROBINHOOD
debit,DVN,2.0,40.58,filled,2018-06-15 18:25:21.297000+00:00,market,gfd,stock,,,81.16,ROBINHOOD
credit,MSFT,3.0,0.42,paid,2018-06-14 00:00:00,,,dividends,,,1.26,ROBINHOOD
credit,BUD,2.0,2.389981,paid,2018-05-30 00:00:00,,,dividends,,,4.779962,ROBINHOOD
credit,SBUX,2.0,57.15,filled,2018-05-02 18:18:07.344000+00:00,market,gfd,stock,,,114.3,ROBINHOOD
debit,BUD,1.0,108.48,filled,2018-04-03 18:51:58.813000+00:00,limit,gfd,stock,,,108.48,ROBINHOOD
credit,XOM,1.0,74.11,filled,2018-04-03 18:49:05.476000+00:00,market,gfd,stock,,,74.11,ROBINHOOD
debit,BUD,1.0,108.43,filled,2018-04-03 18:48:12.381000+00:00,market,gfd,stock,,,108.43,ROBINHOOD
debit,DVN,6.0,30.89,filled,2018-04-03 18:40:15.490000+00:00,market,gfd,stock,,,185.34,ROBINHOOD
credit,MU,6.0,50.99,filled,2018-04-03 18:38:44.576000+00:00,market,gfd,stock,,,305.94,ROBINHOOD
credit,BAC,1.0,0.12,paid,2018-03-30 00:00:00,,,dividends,,,0.12,ROBINHOOD
debit,MU,3.0,60.95,filled,2018-03-20 16:36:43.382000+00:00,market,gfd,stock,,,182.85000000000002,ROBINHOOD
credit,ETP,10.0,16.29,filled,2018-03-20 16:36:00.179000+00:00,market,gfd,stock,,,162.89999999999998,ROBINHOOD
credit,XOM,1.0,0.77,paid,2018-03-09 00:00:00,,,dividends,,,0.77,ROBINHOOD
credit,MSFT,3.0,0.42,paid,2018-03-08 00:00:00,,,dividends,,,1.26,ROBINHOOD
credit,SBUX,2.0,0.3,paid,2018-02-23 00:00:00,,,dividends,,,0.6,ROBINHOOD
credit,ETP,10.0,0.565,paid,2018-02-14 00:00:00,,,dividends,,,5.6499999999999995,ROBINHOOD
debit,XOM,1.0,80.96,filled,2018-02-05 17:47:21.126000+00:00,market,gfd,stock,,,80.96,ROBINHOOD
debit,BMRN,1.0,89.8,filled,2018-02-05 17:44:35.508000+00:00,market,gfd,stock,,,89.8,ROBINHOOD
debit,ETP,10.0,19.279,filled,2018-02-05 17:43:06.608000+00:00,market,gfd,stock,,,192.79,ROBINHOOD
debit,SBUX,2.0,55.89,filled,2018-02-05 17:41:51.509000+00:00,market,gfd,stock,,,111.78,ROBINHOOD
debit,MSFT,2.0,91.94,filled,2018-02-05 17:41:09.013000+00:00,market,gfd,stock,,,183.88,ROBINHOOD
debit,MU,5.0,40.91,filled,2018-02-05 17:40:50.708000+00:00,market,gfd,stock,,,204.54999999999998,ROBINHOOD
credit,BAC,1.0,0.12,paid,2017-12-29 00:00:00,,,dividends,,,0.12,ROBINHOOD
credit,MSFT,1.0,0.42,paid,2017-12-14 00:00:00,,,dividends,,,0.42,ROBINHOOD
credit,F,1.0,0.15,paid,2017-12-01 00:00:00,,,dividends,,,0.15,ROBINHOOD
debit,MSFT,1.0,84.31,filled,2017-11-06 14:53:25.072000+00:00,limit,gfd,stock,,,84.31,ROBINHOOD
credit,BAC,1.0,27.67,filled,2017-11-06 14:52:44.283000+00:00,market,gfd,stock,,,27.67,ROBINHOOD
credit,F,1.0,12.34,filled,2017-11-06 14:52:34.497000+00:00,market,gfd,stock,,,12.34,ROBINHOOD
credit,GM,1.0,42.0,filled,2017-11-06 14:52:22.673000+00:00,market,gfd,stock,,,42.0,ROBINHOOD
debit,BAC,2.0,27.88,filled,2017-10-26 15:44:42.073000+00:00,market,gfd,stock,,,55.76,ROBINHOOD
credit,GRPN,1.0,4.62,filled,2017-10-26 15:44:29.957000+00:00,market,gfd,stock,,,4.62,ROBINHOOD
credit,GM,1.0,45.22,filled,2017-10-26 15:43:49.562000+00:00,market,gfd,stock,,,45.22,ROBINHOOD
debit,F,1.0,12.31,filled,2017-10-03 18:09:26.524000+00:00,market,gfd,stock,,,12.31,ROBINHOOD
credit,RRC,1.0,20.03,filled,2017-10-03 18:08:01.315000+00:00,market,gfd,stock,,,20.03,ROBINHOOD
credit,RRC,1.0,0.02,paid,2017-09-29 00:00:00,,,dividends,,,0.02,ROBINHOOD
debit,GM,2.0,38.87,filled,2017-09-14 18:50:20.782000+00:00,limit,gfd,stock,,,77.74,ROBINHOOD
credit,GE,3.0,24.0867,filled,2017-09-14 17:43:20.790000+00:00,market,gfd,stock,,,72.2601,ROBINHOOD
debit,RRC,1.0,18.4,filled,2017-09-05 15:01:06.333000+00:00,market,gfd,stock,,,18.4,ROBINHOOD
debit,GE,3.0,24.87,filled,2017-09-05 14:58:43.869000+00:00,market,gfd,stock,,,74.61,ROBINHOOD
